signal_id,run_id,company_name,website,signal_type,tier2_vertical,tier2_stage,funding_amount,confidence_score,tier2_confidence,context_validated,signal_rationale,article_title,source_url,article_date,date_detected,review_status,send_to_attio,attio_sync_status
sig_4e5c444475fd,run_20260407_071629_68f69f19,The US IRS,,negative_signal,,,,0.90,0.95,No,Negative signal.,"The US IRS is yet to issue guidelines on whether prediction market gains should be taxed as derivatives, gambling winnings, or income, worrying accountants",https://www.wired.com/story/nobody-knows-how-to-file-taxes-on-prediction-market-wins-and-losses/,2026-04-07T10:55:01.000Z,2026-04-07T07:16:35.075550,Pending,No,Not Synced
sig_a54644943f59,run_20260407_071629_68f69f19,Polymarket,,product_launch,fintech,,,0.75,0.91,Yes,"Fintech company, product launch, source matched 'trading'.","Polymarket plans to launch the CTF Exchange V2 upgrade within the next three weeks, including a rebuilt trading engine and a native, USDC-backed USD stablecoin",https://www.theblock.co/post/396450/polymarket-unveils-plans-trading-engine-overhaul-native-stablecoin,2026-04-07T09:35:00.000Z,2026-04-07T07:16:35.077934,Pending,No,Not Synced
sig_618275db2c3b,run_20260407_071629_68f69f19,Jack Dorsey,,product_launch,,,,0.80,0.83,No,Product launch.,"Jack Dorsey says Apple removed his Bluetooth P2P messaging app Bitchat, used during protests in five countries, from the App Store in China at the CAC's request",https://cointelegraph.com/news/bitchat-jack-dorsey-china-app-store-removed,2026-04-06T10:20:40.000Z,2026-04-07T07:16:35.087810,Pending,No,Not Synced
sig_9a8d6b4a6d10,run_20260407_071629_68f69f19,Medvi,,negative_signal,ai_ml,,,0.90,1.00,Yes,"Ai/ml company, negative signal, source matched 'ai'.","Medvi, glorified by the NYT as a two-employee startup with $1B+ in revenue, is a warning about how AI can be misused for shady business and marketing practices",https://garymarcus.substack.com/p/the-back-story-behind-the-first-18,2026-04-05T20:25:02.000Z,2026-04-07T07:16:35.090312,Pending,No,Not Synced
sig_4599f62da141,run_20260407_071629_68f69f19,Samsung,,negative_business,,,,0.90,0.95,No,Negative business.,Samsung plans to discontinue its Messages app in the US in July 2026 and offers instructions for users on older Android versions to switch to Google Messages,https://9to5google.com/2026/04/04/samsung-messages-discontinued-us/,2026-04-05T05:15:01.000Z,2026-04-07T07:16:35.091153,Pending,No,Not Synced
sig_18a69f8db152,run_20260407_071629_68f69f19,EU,,negative_business,,,,0.90,0.95,No,Negative business.,EU legislation allowing voluntary CSAM scanning by tech and social media companies expired April 3 after lawmakers failed to agree on the terms of an extension,https://www.politico.eu/article/tech-firms-enter-legal-limbo-over-child-abuse-scanning/,2026-04-05T03:40:01.000Z,2026-04-07T07:16:35.091330,Pending,No,Not Synced
sig_bd109b860d0a,run_20260407_071629_68f69f19,Research,,negative_signal,ai_ml,,,0.90,1.00,Yes,"Ai/ml company, negative signal, source matched 'large language model', 'ai'.","Research across 1,372 participants and 9K+ trials details ""cognitive surrender"", where most subjects had minimal AI skepticism and accepted faulty AI reasoning",https://arstechnica.com/ai/2026/04/research-finds-ai-users-scarily-willing-to-surrender-their-cognition-to-llms/,2026-04-04T21:35:03.000Z,2026-04-07T07:16:35.091690,Pending,No,Not Synced
sig_81ef907a2411,run_20260407_071629_68f69f19,Benjamin Brundage,,product_launch,,,,1.00,1.00,No,Product launch.,"A profile of Benjamin Brundage, a 22-year-old college senior who helped uncover the Kimwolf botnet, which launched 26,000+ DDoS attacks targeting 8,000+ victims",https://www.wsj.com/tech/kimwolf-hack-residential-proxy-networks-a712ab59?st=iuG6pj&reflink=article_copyURL_share,2026-04-04T11:30:00.000Z,2026-04-07T07:16:35.092211,Pending,No,Not Synced
sig_4953031d8429,run_20260407_071629_68f69f19,Health,,negative_signal,,,,0.90,0.95,No,Negative signal.,"Health data startup Bevel's CEO pushes back against Whoop's lawsuit that alleges Bevel copied the look of the Whoop app, saying Whoop's actions are ""lawfare""",https://www.inc.com/,2026-04-04T00:55:00.000Z,2026-04-07T07:16:35.092715,Pending,No,Not Synced
sig_3d52acc16184,run_20260407_071629_68f69f19,Starting,,negative_signal,,,,0.90,0.95,No,Negative signal.,"Starting tomorrow at 12pm PT, Claude subscriptions will no longer cover usage on third-party tools like OpenClaw. You can still use these tools with your Claude login via extra usage bundles (now available at a discount), or with a Claude API key.",https://x.com/bcherny,2026-04-03T23:35:07.000Z,2026-04-07T07:16:35.093067,Pending,No,Not Synced
sig_2f726be1f955,run_20260407_071629_68f69f19,Utah,,negative_signal,ai_ml,,,0.90,1.00,Yes,"Ai/ml company, negative signal, source matched 'ai'.",Utah launches a one-year pilot program allowing Legion Health's AI chatbot to renew prescriptions for 15 low-risk psychiatric maintenance medications,https://www.theverge.com/ai-artificial-intelligence/906525/ai-chatbot-prescribe-refill-psychiatric-drugs,2026-04-03T21:00:54.000Z,2026-04-07T07:16:35.093237,Pending,No,Not Synced
